,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
3clsCV1f1E9u1Fge9ntulk,0.626,0.799,-6.612,0.046,0.000358,0.00155,0.36,0.369,98.992,11,0,4,pop
3yLU7ac4GkozoUPDW4CjZX,0.76,0.448,-6.962,0.0508,0.255,0.0,0.0971,0.393,78.027,7,1,4,pop
3A0NjZwttWVJ2iBBL2jgy2,0.66,0.839,-2.058,0.0546,0.0594,0.0,0.106,0.945,126.001,2,1,4,pop
6K6cmRM64IvoDkHQeZtewC,0.621,0.825,-4.686,0.042,0.0063,6.76e-05,0.249,0.593,122.057,5,1,4,pop
0ddj5KtNqJ75lOJzgZNFFc,0.581,0.774,-6.547,0.0399,0.000334,0.0174,0.109,0.358,127.952,9,1,4,pop
7tu7tfPWBfBdsU1FvSylYp,0.71,0.748,-9.308,0.0556,0.00853,5.47e-05,0.0962,0.331,130.008,0,0,4,pop
3AszgPDZd9q0DpDFt4HFBy,0.715,0.97,-2.206,0.0648,0.0644,0.000156,0.205,0.963,79.504,0,1,4,pop
4oHCfvncVvZqkHL4RkPX3J,0.63,0.658,-4.992,0.157,0.164,0.000115,0.111,0.276,144.854,0,0,4,pop
1h2d0gzM9ZqiBYbc2bx22V,0.713,0.724,-3.769,0.0282,0.00215,0.0,0.0636,0.653,126.992,2,1,4,pop
2tJulUYLDKOg9XrtVkMgcJ,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,2,0,4,pop
113CqTH74b2jpFjPPU755D,0.919,0.528,-8.926,0.23,0.00979,5.59e-05,0.37,0.855,119.988,10,1,4,pop
5E5MqaS6eOsbaJibl3YeMZ,0.426,0.224,-8.683,0.0391,0.948,0.0,0.112,0.399,85.728,6,1,5,pop
0TRmtiR9q6XnYDzXmoMpGC,0.609,0.668,-4.515,0.0308,0.287,0.0104,0.0974,0.212,82.975,11,1,4,pop
2eJ8ij1T3cNUKiGdcUvKhy,0.73,0.848,-5.262,0.101,0.0494,0.0,0.133,0.559,65.025,5,0,4,pop
7jUBj3nZfs0dRqr68b4yxy,0.694,0.602,-7.358,0.0276,0.472,0.0982,0.109,0.329,104.997,10,0,4,pop
4VrWlk8IQxevMvERoX08iC,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,1,1,5,pop
6RtPijgfPKROxEzTHNRiDp,0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,1,1,4,pop
5sN8MGWR2pu2Rn3oAOPYXt,0.524,0.904,-2.071,0.398,0.0533,0.0,0.776,0.655,161.188,8,1,4,pop
2VjtYe7gpfUi2OkGxR2O2z,0.767,0.671,-6.416,0.142,0.21,1.12e-05,0.129,0.474,128.072,9,0,4,pop
1sXUWdKx03aP9Gmzft58rt,0.683,0.427,-6.827,0.0777,0.368,0.0,0.0604,0.426,113.634,8,1,4,pop
1nZzRJbFvCEct3uzu04ZoL,0.678,0.918,-4.63,0.0355,0.000417,0.0,0.0744,0.769,130.028,5,1,4,pop
2aFiaMXmWsM3Vj72F9ksBl,0.774,0.764,-5.445,0.0518,0.156,0.0,0.0383,0.912,118.997,4,0,4,pop
3dNjUFt6EFU4Gq6Q5vfJqf,0.611,0.701,-5.235,0.0248,0.0109,9.83e-06,0.0994,0.604,142.027,6,1,4,alt dance
5XsJl0ZlufrT0EVaDDtBLn,0.788,0.703,-5.986,0.127,0.0753,6.13e-05,0.333,0.442,104.049,1,0,4,pop
5QrvxcbduPMIOZkBjgE6tp,0.778,0.877,-3.619,0.0562,0.146,0.0149,0.352,0.739,125.974,4,0,4,pop
6ihL9TjfRjadfEePzXXyVF,0.718,0.691,-6.44,0.0387,0.0159,0.0,0.0627,0.552,100.008,4,1,4,pop
4fixebDZAVToLbUCuEloa2,0.724,0.695,-5.226,0.0622,0.073,0.0,0.0889,0.235,139.0,11,1,4,pop
0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944,11,1,4,dance
6kwAbEjseqBob48jCus7Sz,0.421,0.791,-4.998,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,9,1,4,pop
5jzKL4BDMClWqRguW5qZvh,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,10,1,4,pop
6vmk2FBXwYiiicPUJ5lXuD,0.665,0.683,-6.716,0.049,0.0345,0.00257,0.326,0.492,130.016,11,0,4,pop
06lEEwDNIo9vfel8GcsEHV,0.663,0.809,-7.219,0.0366,0.0677,0.0133,0.281,0.385,125.009,2,0,4,pop
6JV2JOEocMgcZxYSZelKcc,0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,0,1,4,pop
79z9QkhHePTFsSeVw9uyj0,0.632,0.639,-5.938,0.0259,0.00143,0.0,0.221,0.733,95.506,5,1,4,pop
2I8U4alHqlxAZN8Wpc9jf6,0.875,0.631,-3.475,0.099,0.00542,2.54e-06,0.127,0.549,120.003,1,1,4,pop
